èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260401,56900,17,3347,20,2845,44,12200,44700,0
20260402,52100,16,3256,19,2742,40,10800,41300,0
20260403,89000,24,3708,28,3178,67,35700,53300,-300
20260404,143100,27,5300,33,4336,79,39900,103200,0
20260405,102800,28,3671,36,2855,84,42800,60000,-1600
20260406,80900,23,3517,31,2609,64,21800,59100,-600
20260407,70400,20,3520,25,2816,54,22600,47800,-300
20260408,82800,25,3312,31,2670,63,26600,56200,-600
20260409,57200,19,3010,20,2860,41,7600,49600,-600
20260410,62600,18,3477,25,2504,48,19700,42900,-300
20260411,74100,22,3368,29,2555,56,11600,62500,0
20260412,77900,24,3245,28,2782,60,26100,51800,0
20260413,82300,25,3292,30,2743,62,24300,58000,0
20260414,62800,19,3305,20,3140,44,13200,49600,-300
20260415,81000,26,3115,28,2892,61,28800,52200,-1200
20260416,75000,22,3409,25,3000,59,31000,44000,0
20260417,97200,23,4226,29,3351,71,35700,61500,0
20260418,96600,24,4025,34,2841,71,26000,70600,-800
20260419,103000,27,3814,34,3029,86,38200,64800,-300
20260420,46500,16,2906,18,2583,35,12200,34300,-700
20260421,86300,22,3922,27,3196,60,39800,46500,0
20260422,89900,23,3908,31,2900,70,14300,75600,-600
20260423,68700,21,3271,25,2748,53,27300,41400,-2400
20260424,92500,27,3425,32,2890,67,38100,54400,-300
20260425,109250,30,3641,38,2875,80,67150,42100,-500
20260426,107400,23,4669,36,2983,80,32100,75300,-800
20260427,98500,29,3396,32,3078,75,20100,78400,-300
20260428,89700,28,3203,32,2803,66,20400,69300,-300
20260429,86600,27,3207,31,2793,65,20500,66100,-1200
20260430,106400,24,4433,35,3040,82,44700,61700,-1500
