èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260401,57500,17,3382,18,3194,40,16900,40600,0
20260402,48100,17,2829,18,2672,35,8100,40000,0
20260403,61200,19,3221,22,2781,48,24000,37200,-600
20260404,79000,24,3291,29,2724,56,28300,50700,-800
20260405,72000,23,3130,27,2666,54,19200,52800,-1400
20260406,53100,16,3318,19,2794,36,21200,31900,-600
20260407,53900,17,3170,18,2994,39,21000,32900,-500
20260408,33300,10,3330,11,3027,24,9500,23800,-300
20260409,62200,15,4146,17,3658,50,16400,45800,-600
20260410,48100,15,3206,16,3006,35,12500,35600,-200
20260411,72100,24,3004,28,2575,53,16200,55900,-300
20260412,94100,26,3619,30,3136,66,36000,58100,-500
20260413,64900,17,3817,22,2950,48,17800,47100,0
20260414,58700,19,3089,20,2935,42,12900,45800,-600
20260415,67000,18,3722,26,2576,51,23000,44000,-800
20260416,76500,21,3642,24,3187,54,17900,58600,0
20260417,51000,14,3642,19,2684,39,13200,37800,0
20260418,82400,25,3296,31,2658,62,43100,39300,-900
20260419,69400,20,3470,28,2478,53,18900,50500,0
20260420,45000,15,3000,18,2500,34,10600,34400,-300
20260421,108900,25,4356,28,3889,113,53900,55000,0
20260422,74550,21,3550,25,2982,55,31400,43150,0
20260423,51800,18,2877,20,2590,37,24500,27300,-300
20260424,96800,20,4840,24,4033,100,19500,77300,0
20260425,82300,23,3578,31,2654,58,31900,50400,-600
20260426,63300,19,3331,23,2752,46,28800,34500,0
20260427,72500,20,3625,24,3020,49,22300,50200,0
20260428,65900,17,3876,20,3295,48,32800,33100,0
20260429,73300,18,4072,24,3054,48,36400,36900,-300
20260430,81800,19,4305,29,2820,62,26800,55000,-700
