èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260201,113200,33,3430,40,2830,83,33900,79300,-800
20260202,93900,26,3611,32,2934,66,25800,68100,0
20260203,89400,25,3576,31,2883,71,32100,57300,-900
20260204,99900,22,4540,30,3330,68,51000,48900,0
20260205,54050,16,3378,21,2573,41,30150,23900,0
20260206,104000,28,3714,35,2971,79,30900,73100,0
20260207,141250,34,4154,45,3138,107,59400,81850,-2700
20260208,97600,28,3485,42,2323,77,30100,67500,0
20260209,72200,22,3281,27,2674,57,27500,44700,-500
20260210,86900,26,3342,32,2715,61,29100,57800,-200
20260211,116700,38,3071,47,2482,92,23000,93700,-800
20260212,71750,22,3261,24,2989,56,25250,46500,-300
20260213,74000,24,3083,29,2551,56,26500,47500,0
20260214,149300,44,3393,53,2816,110,44300,105000,-300
20260215,130900,38,3444,49,2671,96,33700,97200,0
20260216,108600,32,3393,39,2784,85,37100,71500,-300
20260217,94400,29,3255,37,2551,69,35700,58700,0
20260218,69000,21,3285,24,2875,52,24700,44300,-1200
20260219,62100,16,3881,22,2822,51,36800,25300,0
20260220,84500,20,4225,28,3017,63,15000,69500,0
20260221,143600,39,3682,53,2709,115,42200,101400,-2200
20260222,131850,36,3662,48,2746,94,36550,95300,0
20260223,105800,29,3648,35,3022,72,46700,59100,0
20260224,60200,15,4013,18,3344,42,26700,33500,0
20260225,99800,31,3219,36,2772,76,39900,59900,-600
20260226,81000,25,3240,31,2612,60,24900,56100,0
20260227,72200,22,3281,27,2674,53,8900,63300,0
20260228,118400,33,3587,45,2631,93,19300,99100,-1400
