ãíì_ID,è]ã∆àıID,ì˙ït,ãŒñ±ãÊï™
7,2,2026-03-02,81
7,2,2026-03-03,85
7,2,2026-03-04,81
7,2,2026-03-08,83
7,2,2026-03-09,81
7,2,2026-03-10,85
7,2,2026-03-11,81
7,2,2026-03-13,81
7,2,2026-03-15,83
7,2,2026-03-16,81
7,2,2026-03-17,85
7,2,2026-03-18,81
7,2,2026-03-19,90
7,2,2026-03-20,83
7,2,2026-03-21,81
7,2,2026-03-22,83
7,2,2026-03-23,85
7,2,2026-03-24,82
7,2,2026-03-25,81
7,2,2026-03-27,77
7,2,2026-03-28,83
7,2,2026-03-29,83
7,2,2026-03-30,81
7,2,2026-03-31,85
7,10,2026-03-01,83
7,10,2026-03-02,82
7,10,2026-03-03,81
7,10,2026-03-05,81
7,10,2026-03-06,77
7,10,2026-03-07,83
7,10,2026-03-08,81
7,10,2026-03-10,81
7,10,2026-03-12,81
7,10,2026-03-13,77
7,10,2026-03-14,83
7,10,2026-03-15,81
7,10,2026-03-17,81
7,10,2026-03-19,81
7,10,2026-03-20,81
7,10,2026-03-21,83
7,10,2026-03-22,81
7,10,2026-03-24,81
7,10,2026-03-26,81
7,10,2026-03-27,81
7,10,2026-03-29,81
7,10,2026-03-31,81
7,14,2026-03-05,78
7,14,2026-03-06,78
7,14,2026-03-07,78
7,14,2026-03-12,78
7,14,2026-03-13,78
7,14,2026-03-14,78
7,14,2026-03-16,78
7,14,2026-03-26,78
7,14,2026-03-28,78
7,15,2026-03-01,81
7,15,2026-03-02,77
7,15,2026-03-04,77
7,15,2026-03-05,82
7,15,2026-03-07,81
7,15,2026-03-08,77
7,15,2026-03-09,77
7,15,2026-03-11,77
7,15,2026-03-12,82
7,15,2026-03-14,81
7,15,2026-03-15,77
7,15,2026-03-16,77
7,15,2026-03-18,77
7,15,2026-03-19,82
7,15,2026-03-21,77
7,15,2026-03-22,77
7,15,2026-03-23,77
7,15,2026-03-24,77
7,15,2026-03-25,77
7,15,2026-03-26,82
7,15,2026-03-28,81
7,15,2026-03-29,77
7,15,2026-03-30,77
7,17,2026-03-01,77
7,17,2026-03-03,82
7,17,2026-03-04,82
7,17,2026-03-05,77
7,17,2026-03-06,81
7,17,2026-03-08,82
7,17,2026-03-09,78
7,17,2026-03-11,85
7,17,2026-03-12,77
7,17,2026-03-15,82
7,17,2026-03-18,85
7,17,2026-03-19,77
7,17,2026-03-22,82
7,17,2026-03-23,81
7,17,2026-03-25,85
7,17,2026-03-26,77
7,17,2026-03-27,78
7,17,2026-03-29,82
7,17,2026-03-30,78
7,18,2026-03-01,85
7,18,2026-03-02,85
7,18,2026-03-03,77
7,18,2026-03-05,85
7,18,2026-03-06,85
7,18,2026-03-07,85
7,18,2026-03-09,85
7,18,2026-03-10,77
7,18,2026-03-12,85
7,18,2026-03-13,85
7,18,2026-03-14,85
7,18,2026-03-15,86
7,18,2026-03-16,85
7,18,2026-03-17,77
7,18,2026-03-19,85
7,18,2026-03-20,85
7,18,2026-03-21,85
7,18,2026-03-23,86
7,18,2026-03-24,85
7,18,2026-03-26,85
7,18,2026-03-27,85
7,18,2026-03-28,85
7,18,2026-03-30,85
7,18,2026-03-31,77
7,19,2026-03-09,86
7,19,2026-03-16,86
7,19,2026-03-23,82
7,19,2026-03-30,86
7,24,2026-03-01,82
7,24,2026-03-03,86
7,24,2026-03-06,86
7,24,2026-03-07,82
7,24,2026-03-08,86
7,24,2026-03-10,86
7,24,2026-03-13,86
7,24,2026-03-15,86
7,24,2026-03-17,86
7,24,2026-03-20,82
7,24,2026-03-22,86
7,24,2026-03-24,86
7,24,2026-03-26,86
7,24,2026-03-27,86
7,24,2026-03-31,86
7,26,2026-03-10,82
7,26,2026-03-11,82
7,26,2026-03-14,82
7,26,2026-03-17,82
7,26,2026-03-18,82
7,26,2026-03-21,82
7,26,2026-03-25,82
7,26,2026-03-28,82
7,26,2026-03-31,82
7,27,2026-03-01,86
7,27,2026-03-04,86
7,27,2026-03-05,86
7,27,2026-03-07,86
7,27,2026-03-11,86
7,27,2026-03-14,86
7,27,2026-03-18,86
7,27,2026-03-19,86
7,27,2026-03-20,78
7,27,2026-03-21,86
7,27,2026-03-24,78
7,27,2026-03-25,86
7,27,2026-03-29,86
7,28,2026-03-01,78
7,28,2026-03-02,86
7,28,2026-03-03,78
7,28,2026-03-04,78
7,28,2026-03-06,82
7,28,2026-03-08,78
7,28,2026-03-09,82
7,28,2026-03-10,78
7,28,2026-03-11,78
7,28,2026-03-12,86
7,28,2026-03-13,82
7,28,2026-03-15,78
7,28,2026-03-16,82
7,28,2026-03-17,78
7,28,2026-03-18,78
7,28,2026-03-20,86
7,28,2026-03-22,78
7,28,2026-03-23,78
7,28,2026-03-25,78
7,28,2026-03-27,82
7,28,2026-03-28,86
7,28,2026-03-29,78
7,28,2026-03-30,82
7,28,2026-03-31,78
