èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260301,137400,37,3713,42,3271,91,38800,98600,0
20260302,82600,25,3304,27,3059,58,28300,54300,0
20260303,50100,12,4175,15,3340,36,20500,29600,-300
20260304,102700,31,3312,35,2934,75,25000,77700,-200
20260305,84200,23,3660,30,2806,68,24000,60200,0
20260306,121100,32,3784,44,2752,90,23200,97900,-600
20260307,140900,39,3612,53,2658,106,54800,86100,0
20260308,175200,39,4492,55,3185,133,76900,98300,-600
20260309,62600,17,3682,19,3294,43,24800,37800,-300
20260310,82100,27,3040,33,2487,65,21500,60600,0
20260311,83500,25,3340,30,2783,65,22300,61200,0
20260312,84000,26,3230,30,2800,66,32400,51600,0
20260313,58800,18,3266,21,2800,43,8900,49900,0
20260314,120400,36,3344,46,2617,94,47800,72600,-300
20260315,92900,26,3573,35,2654,68,20500,72400,0
20260316,60800,19,3200,21,2895,44,30200,30600,-300
20260317,89900,25,3596,32,2809,67,25300,64600,-1900
20260318,80700,24,3362,27,2988,59,35700,45000,0
20260319,86500,23,3760,30,2883,67,43500,43000,-600
20260320,110900,35,3168,42,2640,87,34500,76400,-800
20260321,134700,41,3285,51,2641,102,35500,99200,-300
20260322,104400,28,3728,36,2900,74,25700,78700,-300
20260323,43600,15,2906,16,2725,32,25700,17900,0
20260324,90200,26,3469,31,2909,66,47100,43100,0
20260325,108550,28,3876,35,3101,76,25850,82700,0
20260326,73500,22,3340,31,2370,60,20900,52600,0
20260327,79200,26,3046,32,2475,62,33800,45400,0
20260328,139000,37,3756,51,2725,99,39700,99300,0
20260329,153400,45,3408,57,2691,117,39700,113700,0
20260330,76200,22,3463,28,2721,56,30400,45800,-300
20260331,69900,23,3039,30,2330,56,27000,42900,0
