èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20260104,97500,25,3900,34,2867,72,35400,62100,-400
20260105,55500,16,3468,18,3083,40,14500,41000,0
20260106,67500,17,3970,23,2934,52,29000,38500,-600
20260107,46500,10,4650,12,3875,31,22600,23900,-300
20260108,48100,14,3435,17,2829,35,19700,28400,-900
20260109,50500,16,3156,17,2970,36,7100,43400,0
20260110,52800,16,3300,18,2933,39,15600,37200,-900
20260111,92700,22,4213,25,3708,63,24400,68300,-1100
20260112,51900,15,3460,21,2471,41,13300,38600,-600
20260113,45200,13,3476,15,3013,31,15000,30200,0
20260114,32900,10,3290,10,3290,22,9800,23100,0
20260115,58200,17,3423,19,3063,40,24400,33800,-700
20260116,58700,19,3089,21,2795,41,16000,42700,0
20260117,76000,21,3619,24,3166,56,36800,39200,-500
20260118,57900,17,3405,18,3216,41,19900,38000,-300
20260119,61300,17,3605,18,3405,42,16900,44400,0
20260120,36400,11,3309,12,3033,28,10800,25600,0
20260121,47400,14,3385,17,2788,35,20600,26800,0
20260122,38600,11,3509,16,2412,31,6200,32400,0
20260123,52400,15,3493,15,3493,39,16900,35500,-300
20260124,49800,18,2766,19,2621,37,16200,33600,-300
20260125,78200,18,4344,23,3400,54,32600,45600,-1000
20260126,34600,10,3460,10,3460,23,9800,24800,0
20260127,44300,14,3164,19,2331,35,13500,30800,0
20260128,68100,20,3405,26,2619,52,23900,44200,-600
20260129,32800,11,2981,12,2733,24,9800,23000,-300
20260130,52400,19,2757,19,2757,37,17900,34500,0
20260131,84900,22,3859,26,3265,60,23700,61200,-600
