èWåvä˙ä‘,îÑè„,âÔåvêî,âÔåvíPâø,ãqêî,ãqíPâø,è§ïiêî,åªã‡éxï•çáåväz,åªã‡ÇªÇÃëºéxï•çáåväz,äÑà¯äz
20251201,87500,25,3500,28,3125,60,21100,66400,-900
20251203,74500,23,3239,28,2660,55,24300,50200,-600
20251204,89400,25,3576,30,2980,62,19700,69700,-900
20251205,91500,25,3660,34,2691,76,18700,72800,-900
20251206,111500,33,3378,41,2719,83,27200,84300,-400
20251207,86650,25,3466,33,2625,66,29800,56850,-1000
20251208,74900,24,3120,27,2774,57,14600,60300,-600
20251210,86200,25,3448,29,2972,63,30500,55700,-300
20251211,89000,24,3708,28,3178,62,25700,63300,0
20251212,71400,20,3570,24,2975,50,8900,62500,-300
20251213,92700,22,4213,24,3862,59,13500,79200,0
20251214,97300,30,3243,35,2780,77,38700,58600,-2100
20251215,62200,18,3455,21,2961,42,15200,47000,0
20251217,96700,27,3581,35,2762,73,30700,66000,-1200
20251218,90800,24,3783,29,3131,65,25800,65000,-300
20251219,77900,23,3386,25,3116,57,15200,62700,-300
20251220,92100,26,3542,34,2708,72,32100,60000,0
20251221,84700,25,3388,33,2566,67,26900,57800,-600
20251222,73300,19,3857,23,3186,54,20000,53300,-300
20251224,93300,27,3455,32,2915,68,37700,55600,-900
20251225,69700,20,3485,26,2680,53,16100,53600,0
20251226,99700,27,3692,33,3021,72,14500,85200,-1200
20251227,102800,29,3544,36,2855,78,50200,52600,-900
20251228,112600,30,3753,40,2815,85,31200,81400,-1700
20251229,120000,28,4285,35,3428,87,17400,102600,-2100
